identifier,VARIABLE_COSTS_IN_EURO,REVENUES_IN_EURO,PRODUCTION_IN_MWH,CONTRIBUTION_MARGIN_IN_EURO
20150100021,47406963.71626103,921635268.3325826,24951033.534874223,874228304.6163216
99990100004,10189.700000000004,198422.33815032078,5362.999999999999,188232.63815032077
20150300022,6760536606.907566,7629951306.901164,196011633.69915283,869414699.993598
20151400059,439054041.0272562,2742399630.581612,72443916.76949728,2303345589.554356
20151700060,45260385.83102083,49115525.60597817,925033.6941066133,3855139.7749573365
20152800024,3133723.2906868467,3278874.7968036276,58060.602446712306,145151.50611678092
20152900058,1159937360.8797138,1290283096.6830235,31170955.137647033,130345735.80330968
20153000056,0.0,0.0,0.0,0.0
99990300008,215589.82326218876,243314.98361730826,6250.704037806123,27725.1603551195
99991700006,5523.396998221731,5993.862882896766,112.88742319515458,470.46588467503443
99992600009,0.0,0.0,0.0,0.0
20092100025,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20092100026,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100027,0.0,29945499.118420772,937602.0789668954,29945499.118420772
20102100028,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100029,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100030,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100031,0.0,29945499.118420772,938328.0323345305,29945499.118420772
20102100032,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100033,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100034,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100035,0.0,29945499.118420772,939129.0189132927,29945499.118420772
20102100036,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20102100037,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100038,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100039,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100040,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100041,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100042,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100043,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100044,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100045,0.0,29945499.118420772,940655.015895571,29945499.118420772
20112100046,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100047,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20112100048,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20122100049,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20122100050,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20122100051,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20122100052,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20122100053,0.0,29945499.118420772,941436.9171529358,29945499.118420772
20122100054,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20122100055,0.0,29945499.118420772,949999.9999999994,29945499.118420772
20151200057,0.0,680704144.4009653,18624635.99999999,680704144.4009653
20152100061,0.0,1603746659.4343512,50857924.13383493,1603746659.4343512
20152300062,108326531.45351724,1452609183.7062883,40120937.57537675,1344282652.2527711
20152400023,108567672.46434073,2818954934.4462013,80420498.12173387,2710387261.9818606
99992100002,0.0,29945.49911842078,949.9999999999995,29945.49911842078
99992300007,10431.653716652445,141302.8400937211,3863.575450612017,130871.18637706866
99992400003,2266.1115590575414,59269.88206625262,1678.6011548574384,57003.77050719508
